no,date,season,year,month,day,day_type,weather,temperature,humidity,wind_speed,casual,registered,count
1,2011-01-01,Spring,2011,January,Saturday,Weekend,MistCloud,8.175849,80.58330000000001,0.160446,331,654,985
2,2011-01-02,Spring,2011,January,Sunday,Weekend,MistCloud,9.083466000000001,69.6087,0.248539,131,670,801
3,2011-01-03,Spring,2011,January,Monday,Weekday,Clear,1.229108,43.7273,0.248309,120,1229,1349
4,2011-01-04,Spring,2011,January,Tuesday,Weekday,Clear,1.4000000000000004,59.0435,0.160296,108,1454,1562
5,2011-01-05,Spring,2011,January,Wednesday,Weekday,Clear,2.6669789999999995,43.695699999999995,0.1869,82,1518,1600
6,2011-01-06,Spring,2011,January,Thursday,Weekday,Clear,1.6043559999999992,51.8261,0.0895652,88,1518,1606
7,2011-01-07,Spring,2011,January,Friday,Weekday,MistCloud,1.2365340000000007,49.8696,0.168726,148,1362,1510
8,2011-01-08,Spring,2011,January,Saturday,Weekend,MistCloud,-0.24499999999999922,53.5833,0.266804,68,891,959
9,2011-01-09,Spring,2011,January,Sunday,Weekend,Clear,-1.4983489999999993,43.416700000000006,0.36195,54,768,822
10,2011-01-10,Spring,2011,January,Monday,Weekday,Clear,-0.9108490000000007,48.2917,0.223267,41,1280,1321
11,2011-01-11,Spring,2011,January,Tuesday,Weekday,MistCloud,-0.0527230000000003,68.6364,0.122132,43,1220,1263
12,2011-01-12,Spring,2011,January,Wednesday,Weekday,Clear,0.11816899999999997,59.954499999999996,0.304627,25,1137,1162
13,2011-01-13,Spring,2011,January,Thursday,Weekday,Clear,-0.24499999999999922,47.0417,0.301,38,1368,1406
14,2011-01-14,Spring,2011,January,Friday,Weekday,Clear,-0.43910999999999945,53.7826,0.126548,54,1367,1421
15,2011-01-15,Spring,2011,January,Saturday,Weekend,MistCloud,2.9666510000000006,49.875,0.157963,222,1026,1248
16,2011-01-16,Spring,2011,January,Sunday,Weekend,Clear,2.888349,48.375,0.188433,251,953,1204
17,2011-01-17,Spring,2011,January,Monday,Weekend,MistCloud,0.264151,53.75,0.194017,117,883,1000
18,2011-01-18,Spring,2011,January,Tuesday,Weekday,MistCloud,2.1833489999999998,86.16669999999999,0.146775,9,674,683
19,2011-01-19,Spring,2011,January,Wednesday,Weekday,MistCloud,5.732177999999999,74.1739,0.208317,78,1572,1650
20,2011-01-20,Spring,2011,January,Thursday,Weekday,MistCloud,4.298349,53.833299999999994,0.195904,83,1844,1927
21,2011-01-21,Spring,2011,January,Friday,Weekday,Clear,0.34249999999999936,45.7083,0.353242,75,1468,1543
22,2011-01-22,Spring,2011,January,Saturday,Weekend,Clear,-5.2208711999999995,40.0,0.17197,93,888,981
23,2011-01-23,Spring,2011,January,Sunday,Weekend,Clear,-3.4634801,43.6522,0.2466,150,836,986
24,2011-01-24,Spring,2011,January,Monday,Weekday,Clear,-3.4226089,49.173899999999996,0.15833,86,1330,1416
25,2011-01-25,Spring,2011,January,Tuesday,Weekday,MistCloud,2.5034660000000013,61.695699999999995,0.129796,186,1799,1985
26,2011-01-26,Spring,2011,January,Wednesday,Weekday,LightRainSnow,2.2225,86.25,0.29385,34,472,506
27,2011-01-27,Spring,2011,January,Thursday,Weekday,Clear,1.165000000000001,68.75,0.113837,15,416,431
28,2011-01-28,Spring,2011,January,Friday,Weekday,MistCloud,1.563466,79.30430000000001,0.1233,38,1129,1167
29,2011-01-29,Spring,2011,January,Saturday,Weekend,Clear,1.2365340000000007,65.17389999999999,0.145365,123,975,1098
30,2011-01-30,Spring,2011,January,Sunday,Weekend,Clear,2.176534,72.2174,0.0739826,140,956,1096
31,2011-01-31,Spring,2011,January,Monday,Weekday,MistCloud,0.49915099999999946,60.375,0.187192,42,1459,1501
32,2011-02-01,Spring,2011,February,Tuesday,Weekday,MistCloud,1.032178,82.9565,0.053213,47,1313,1360
33,2011-02-02,Spring,2011,February,Wednesday,Weekday,MistCloud,4.220000000000001,77.5417,0.264308,72,1454,1526
34,2011-02-03,Spring,2011,February,Thursday,Weekday,Clear,0.7869790000000005,43.7826,0.277752,61,1489,1550
35,2011-02-04,Spring,2011,February,Friday,Weekday,MistCloud,1.9312880000000003,58.521699999999996,0.127839,88,1620,1708
36,2011-02-05,Spring,2011,February,Saturday,Weekend,MistCloud,2.9666510000000006,92.91669999999999,0.161079,100,905,1005
37,2011-02-06,Spring,2011,February,Sunday,Weekend,Clear,5.434151,56.833299999999994,0.1418,354,1269,1623
38,2011-02-07,Spring,2011,February,Monday,Weekday,Clear,4.768348999999999,73.83330000000001,0.0454083,120,1592,1712
39,2011-02-08,Spring,2011,February,Tuesday,Weekday,Clear,2.3791510000000002,53.7917,0.36195,64,1466,1530
40,2011-02-09,Spring,2011,February,Wednesday,Weekday,MistCloud,-1.6651990000000003,49.4783,0.188839,53,1552,1605
41,2011-02-10,Spring,2011,February,Thursday,Weekday,Clear,-1.2156440000000002,43.7391,0.221935,47,1491,1538
42,2011-02-11,Spring,2011,February,Friday,Weekday,Clear,0.887277000000001,50.6364,0.10855,149,1597,1746
43,2011-02-12,Spring,2011,February,Saturday,Weekend,Clear,2.4574999999999996,54.4167,0.203367,288,1184,1472
44,2011-02-13,Spring,2011,February,Sunday,Weekend,Clear,6.876534000000001,45.7391,0.260883,397,1192,1589
45,2011-02-14,Spring,2011,February,Monday,Weekday,Clear,11.504999999999999,37.583299999999994,0.417908,208,1705,1913
46,2011-02-15,Spring,2011,February,Tuesday,Weekday,Clear,4.506089000000001,31.434800000000003,0.291374,140,1675,1815
47,2011-02-16,Spring,2011,February,Wednesday,Weekday,Clear,6.958267000000001,42.3478,0.251791,218,1897,2115
48,2011-02-17,Spring,2011,February,Thursday,Weekday,Clear,12.484151,50.5,0.230104,259,2216,2475
49,2011-02-18,Spring,2011,February,Friday,Weekday,Clear,16.518349,51.6667,0.264925,579,2348,2927
50,2011-02-19,Spring,2011,February,Saturday,Weekend,Clear,10.760849,18.7917,0.507463,532,1103,1635
51,2011-02-20,Spring,2011,February,Sunday,Weekend,Clear,5.405199,40.7826,0.223235,639,1173,1812
52,2011-02-21,Spring,2011,February,Monday,Weekend,MistCloud,6.2566510000000015,60.5,0.307846,195,912,1107
53,2011-02-22,Spring,2011,February,Tuesday,Weekday,Clear,0.5644340000000003,57.7778,0.195683,74,1376,1450
54,2011-02-23,Spring,2011,February,Wednesday,Weekday,Clear,2.4217329999999997,42.3043,0.094113,139,1778,1917
55,2011-02-24,Spring,2011,February,Thursday,Weekday,MistCloud,5.895644000000001,69.7391,0.250496,100,1707,1807
56,2011-02-25,Spring,2011,February,Friday,Weekday,MistCloud,9.124355999999999,71.2174,0.346539,120,1341,1461
57,2011-02-26,Spring,2011,February,Saturday,Weekend,Clear,5.277499999999998,53.7917,0.186571,424,1545,1969
58,2011-02-27,Spring,2011,February,Sunday,Weekend,Clear,8.143466,68.0,0.125248,694,1708,2402
59,2011-02-28,Spring,2011,February,Monday,Weekday,MistCloud,11.141831,87.63640000000001,0.289686,81,1365,1446
60,2011-03-01,Spring,2011,March,Tuesday,Weekday,Clear,4.533348999999999,53.5,0.216425,137,1714,1851
61,2011-03-02,Spring,2011,March,Wednesday,Weekday,Clear,7.745000000000001,44.9583,0.307833,231,1903,2134
62,2011-03-03,Spring,2011,March,Thursday,Weekday,Clear,1.321651000000001,31.833299999999998,0.225754,123,1562,1685
63,2011-03-04,Spring,2011,March,Friday,Weekday,MistCloud,4.298349,61.0417,0.203346,214,1730,1944
64,2011-03-05,Spring,2011,March,Saturday,Weekend,MistCloud,10.055848999999998,78.91669999999999,0.251871,640,1437,2077
65,2011-03-06,Spring,2011,March,Sunday,Weekend,MistCloud,9.696534,94.8261,0.343287,114,491,605
66,2011-03-07,Spring,2011,March,Monday,Weekday,Clear,4.3017330000000005,55.1304,0.341352,244,1628,1872
67,2011-03-08,Spring,2011,March,Tuesday,Weekday,Clear,5.747499999999999,42.0833,0.12065,316,1817,2133
68,2011-03-09,Spring,2011,March,Wednesday,Weekday,MistCloud,5.904151000000001,77.5417,0.22015,191,1700,1891
69,2011-03-10,Spring,2011,March,Thursday,Weekday,LightRainSnow,10.287277,0.0,0.261877,46,577,623
70,2011-03-11,Spring,2011,March,Friday,Weekday,MistCloud,6.876534000000001,64.95649999999999,0.23297,247,1730,1977
71,2011-03-12,Spring,2011,March,Saturday,Weekend,Clear,7.470848999999999,59.458299999999994,0.220775,724,1408,2132
72,2011-03-13,Spring,2011,March,Sunday,Weekend,Clear,10.064356,52.73910000000001,0.270604,982,1435,2417
73,2011-03-14,Spring,2011,March,Monday,Weekday,Clear,7.285198999999999,49.695699999999995,0.136926,359,1687,2046
74,2011-03-15,Spring,2011,March,Tuesday,Weekday,MistCloud,6.917376999999998,65.5652,0.184309,289,1767,2056
75,2011-03-16,Spring,2011,March,Wednesday,Weekday,MistCloud,9.165199000000001,77.65220000000001,0.203117,321,1871,2192
76,2011-03-17,Spring,2011,March,Thursday,Weekday,Clear,11.504999999999999,60.291700000000006,0.209579,424,2320,2744
77,2011-03-18,Spring,2011,March,Friday,Weekday,Clear,17.380000000000003,52.5217,0.231017,884,2355,3239
78,2011-03-19,Spring,2011,March,Saturday,Weekend,Clear,14.2075,37.9167,0.368167,1424,1693,3117
79,2011-03-20,Spring,2011,March,Sunday,Weekend,Clear,7.627500000000001,47.375,0.207721,1047,1424,2471
80,2011-03-21,Summer,2011,March,Monday,Weekday,MistCloud,12.230445,73.73910000000001,0.288783,401,1676,2077
81,2011-03-22,Summer,2011,March,Tuesday,Weekday,Clear,12.758348999999999,62.4583,0.22575,460,2243,2703
82,2011-03-23,Summer,2011,March,Wednesday,Weekday,MistCloud,8.306979000000002,83.9565,0.234261,203,1918,2121
83,2011-03-24,Summer,2011,March,Thursday,Weekday,MistCloud,5.395,80.58330000000001,0.243787,166,1699,1865
84,2011-03-25,Summer,2011,March,Friday,Weekday,Clear,4.415849,49.5,0.230725,300,1910,2210
85,2011-03-26,Summer,2011,March,Saturday,Weekend,Clear,4.494150999999999,39.4167,0.209571,981,1515,2496
86,2011-03-27,Summer,2011,March,Sunday,Weekend,MistCloud,3.893021000000001,49.3913,0.1843,472,1221,1693
87,2011-03-28,Summer,2011,March,Monday,Weekday,Clear,4.424356000000001,30.2174,0.212204,222,1806,2028
88,2011-03-29,Summer,2011,March,Tuesday,Weekday,Clear,6.217499999999999,31.4167,0.226996,317,2108,2425
89,2011-03-30,Summer,2011,March,Wednesday,Weekday,MistCloud,6.1,64.6667,0.172888,168,1368,1536
90,2011-03-31,Summer,2011,March,Thursday,Weekday,LightRainSnow,4.611651,91.8333,0.217646,179,1506,1685
91,2011-04-01,Summer,2011,April,Friday,Weekday,MistCloud,6.1,68.625,0.258708,307,1920,2227
92,2011-04-02,Summer,2011,April,Saturday,Weekend,MistCloud,6.805,65.375,0.197146,898,1354,2252
93,2011-04-03,Summer,2011,April,Sunday,Weekend,Clear,9.781651,48.0,0.182213,1651,1598,3249
94,2011-04-04,Summer,2011,April,Monday,Weekday,Clear,18.946651,42.625,0.385571,734,2381,3115
95,2011-04-05,Summer,2011,April,Tuesday,Weekday,MistCloud,11.465848999999999,64.2083,0.388067,167,1628,1795
96,2011-04-06,Summer,2011,April,Wednesday,Weekday,Clear,10.369150999999999,47.0833,0.263063,413,2395,2808
97,2011-04-07,Summer,2011,April,Thursday,Weekday,Clear,12.5625,60.291700000000006,0.162312,571,2570,3141
98,2011-04-08,Summer,2011,April,Friday,Weekday,MistCloud,7.784151,83.625,0.226992,172,1299,1471
99,2011-04-09,Summer,2011,April,Saturday,Weekend,MistCloud,8.0975,87.75,0.133083,879,1576,2455
100,2011-04-10,Summer,2011,April,Sunday,Weekend,MistCloud,12.053349,85.75,0.146767,1188,1707,2895
101,2011-04-11,Summer,2011,April,Monday,Weekday,MistCloud,19.995644,71.6956,0.324474,855,2493,3348
102,2011-04-12,Summer,2011,April,Tuesday,Weekday,MistCloud,15.617499999999996,73.9167,0.274879,257,1777,2034
103,2011-04-13,Summer,2011,April,Wednesday,Weekday,MistCloud,11.3875,81.91669999999999,0.250617,209,1953,2162
104,2011-04-14,Summer,2011,April,Thursday,Weekday,Clear,13.9725,54.041700000000006,0.1107,529,2738,3267
105,2011-04-15,Summer,2011,April,Friday,Weekend,Clear,12.993348999999998,67.125,0.226375,642,2484,3126
106,2011-04-16,Summer,2011,April,Saturday,Weekend,LightRainSnow,12.249151000000001,88.83330000000001,0.340808,121,674,795
107,2011-04-17,Summer,2011,April,Sunday,Weekend,Clear,13.463349000000001,47.9583,0.303496,1558,2186,3744
108,2011-04-18,Summer,2011,April,Monday,Weekday,Clear,16.0875,54.25,0.163567,669,2760,3429
109,2011-04-19,Summer,2011,April,Tuesday,Weekday,MistCloud,15.774151,66.5833,0.157971,409,2795,3204
110,2011-04-20,Summer,2011,April,Wednesday,Weekday,Clear,19.965,61.4167,0.241925,613,3331,3944
111,2011-04-21,Summer,2011,April,Thursday,Weekday,Clear,13.580849,40.708299999999994,0.325258,745,3444,4189
112,2011-04-22,Summer,2011,April,Friday,Weekday,MistCloud,7.823349,72.9583,0.219521,177,1506,1683
113,2011-04-23,Summer,2011,April,Saturday,Weekend,MistCloud,13.620000000000001,88.79169999999999,0.230725,1462,2574,4036
114,2011-04-24,Summer,2011,April,Sunday,Weekend,MistCloud,19.338349,81.08330000000001,0.192175,1710,2481,4191
115,2011-04-25,Summer,2011,April,Monday,Weekday,Clear,20.513348999999998,77.6667,0.185333,773,3300,4073
116,2011-04-26,Summer,2011,April,Tuesday,Weekday,Clear,21.688349,72.9167,0.3265,678,3722,4400
117,2011-04-27,Summer,2011,April,Wednesday,Weekday,MistCloud,21.14,83.54169999999999,0.3122,547,3325,3872
118,2011-04-28,Summer,2011,April,Thursday,Weekday,MistCloud,21.0225,70.08330000000001,0.320908,569,3489,4058
119,2011-04-29,Summer,2011,April,Friday,Weekday,Clear,15.969999999999999,45.7083,0.240063,878,3717,4595
120,2011-04-30,Summer,2011,April,Saturday,Weekend,Clear,14.2075,50.3333,0.235075,1965,3347,5312
121,2011-05-01,Summer,2011,May,Sunday,Weekend,MistCloud,13.228348999999998,76.2083,0.106354,1138,2213,3351
122,2011-05-02,Summer,2011,May,Monday,Weekday,MistCloud,17.810848999999997,73.0,0.183454,847,3554,4401
123,2011-05-03,Summer,2011,May,Tuesday,Weekday,MistCloud,20.983348999999997,69.7083,0.342667,603,3848,4451
124,2011-05-04,Summer,2011,May,Wednesday,Weekday,MistCloud,11.465848999999999,73.70830000000001,0.328996,255,2378,2633
125,2011-05-05,Summer,2011,May,Thursday,Weekday,Clear,13.580849,44.4167,0.295392,614,3819,4433
126,2011-05-06,Summer,2011,May,Friday,Weekday,Clear,14.520849000000002,59.0,0.228246,894,3714,4608
127,2011-05-07,Summer,2011,May,Saturday,Weekend,Clear,16.44,54.125,0.16045,1612,3102,4714
128,2011-05-08,Summer,2011,May,Sunday,Weekend,Clear,16.831651,63.1667,0.0746375,1401,2932,4333
129,2011-05-09,Summer,2011,May,Monday,Weekday,Clear,17.0275,58.875,0.176,664,3698,4362
130,2011-05-10,Summer,2011,May,Tuesday,Weekday,Clear,17.0275,48.9167,0.115671,694,4109,4803
131,2011-05-11,Summer,2011,May,Wednesday,Weekday,Clear,17.4975,63.29169999999999,0.120642,550,3632,4182
132,2011-05-12,Summer,2011,May,Thursday,Weekday,Clear,17.145000000000003,74.75,0.189667,695,4169,4864
133,2011-05-13,Summer,2011,May,Friday,Weekday,MistCloud,16.0875,86.33330000000001,0.179725,692,3413,4105
134,2011-05-14,Summer,2011,May,Saturday,Weekend,MistCloud,16.479150999999998,92.25,0.13495,902,2507,3409
135,2011-05-15,Summer,2011,May,Sunday,Weekend,MistCloud,18.4375,86.70830000000001,0.152979,1582,2971,4553
136,2011-05-16,Summer,2011,May,Monday,Weekday,Clear,19.142500000000002,78.79169999999999,0.126871,773,3185,3958
137,2011-05-17,Summer,2011,May,Tuesday,Weekday,MistCloud,18.398349,83.7917,0.277354,678,3445,4123
138,2011-05-18,Summer,2011,May,Wednesday,Weekday,MistCloud,17.85,87.0,0.201492,536,3319,3855
139,2011-05-19,Summer,2011,May,Thursday,Weekday,MistCloud,16.949151,82.9583,0.108213,735,3840,4575
140,2011-05-20,Summer,2011,May,Friday,Weekday,Clear,17.223349,71.9583,0.125013,909,4008,4917
141,2011-05-21,Summer,2011,May,Saturday,Weekend,Clear,20.317500000000003,62.6667,0.12065,2258,3547,5805
142,2011-05-22,Summer,2011,May,Sunday,Weekend,Clear,20.395849000000002,74.9583,0.148008,1576,3084,4660
143,2011-05-23,Summer,2011,May,Monday,Weekday,MistCloud,21.688349,81.0,0.233842,836,3438,4274
144,2011-05-24,Summer,2011,May,Tuesday,Weekday,MistCloud,23.020000000000003,74.0833,0.207092,659,3833,4492
145,2011-05-25,Summer,2011,May,Wednesday,Weekday,Clear,23.059151,69.625,0.154233,740,4238,4978
146,2011-05-26,Summer,2011,May,Thursday,Weekday,Clear,25.291651,67.75,0.199642,758,3919,4677
147,2011-05-27,Summer,2011,May,Friday,Weekday,Clear,24.038349000000004,65.375,0.240679,871,3808,4679
148,2011-05-28,Summer,2011,May,Saturday,Weekend,Clear,22.824151,72.9583,0.230092,2001,2757,4758
149,2011-05-29,Summer,2011,May,Sunday,Weekend,Clear,23.3725,81.875,0.213938,2355,2433,4788
150,2011-05-30,Summer,2011,May,Monday,Weekend,Clear,26.466651,68.5,0.131225,1549,2549,4098
151,2011-05-31,Summer,2011,May,Tuesday,Weekday,Clear,28.425000000000004,63.6667,0.111329,673,3309,3982
152,2011-06-01,Summer,2011,Juny,Wednesday,Weekday,MistCloud,27.915849,67.7083,0.207092,513,3461,3974
153,2011-06-02,Summer,2011,Juny,Thursday,Weekday,Clear,25.604999999999997,30.5,0.292287,736,4232,4968
154,2011-06-03,Summer,2011,Juny,Friday,Weekday,Clear,21.14,35.4167,0.253121,898,4414,5312
155,2011-06-04,Summer,2011,Juny,Saturday,Weekend,Clear,21.845,45.625,0.123142,1869,3473,5342
156,2011-06-05,Summer,2011,Juny,Sunday,Weekend,MistCloud,22.471651,65.25,0.138692,1685,3221,4906
157,2011-06-06,Summer,2011,Juny,Monday,Weekday,Clear,23.881650999999998,60.0,0.121896,673,3875,4548
158,2011-06-07,Summer,2011,Juny,Tuesday,Weekday,Clear,25.252499999999998,59.791700000000006,0.187808,763,4070,4833
159,2011-06-08,Summer,2011,Juny,Wednesday,Weekday,Clear,28.464151,62.20830000000001,0.136817,676,3725,4401
160,2011-06-09,Summer,2011,Juny,Thursday,Weekday,MistCloud,29.991650999999997,56.833299999999994,0.149883,563,3352,3915
161,2011-06-10,Summer,2011,Juny,Friday,Weekday,Clear,27.485,60.5,0.140554,815,3771,4586
162,2011-06-11,Summer,2011,Juny,Saturday,Weekend,Clear,26.074999999999996,65.45830000000001,0.15485,1729,3237,4966
163,2011-06-12,Summer,2011,Juny,Sunday,Weekend,Clear,24.5475,74.7917,0.163567,1467,2993,4460
164,2011-06-13,Summer,2011,Juny,Monday,Weekday,Clear,21.845,49.4583,0.30535,863,4157,5020
165,2011-06-14,Summer,2011,Juny,Tuesday,Weekday,Clear,20.395849000000002,50.708299999999994,0.269283,727,4164,4891
166,2011-06-15,Summer,2011,Juny,Wednesday,Weekday,Clear,21.453349,47.1667,0.167912,769,4411,5180
167,2011-06-16,Summer,2011,Juny,Thursday,Weekday,MistCloud,21.531651,68.8333,0.206471,545,3222,3767
168,2011-06-17,Summer,2011,Juny,Friday,Weekday,Clear,22.510849000000004,73.5833,0.143029,863,3981,4844
169,2011-06-18,Summer,2011,Juny,Saturday,Weekend,Clear,24.743349000000002,67.0417,0.119408,1807,3312,5119
170,2011-06-19,Summer,2011,Juny,Sunday,Weekend,MistCloud,24.860849,66.6667,0.102,1639,3105,4744
171,2011-06-20,Summer,2011,Juny,Monday,Weekday,MistCloud,21.845,74.625,0.155475,699,3311,4010
172,2011-06-21,Autumn,2011,Juny,Tuesday,Weekday,MistCloud,23.999151,77.0417,0.171025,774,4061,4835
173,2011-06-22,Autumn,2011,Juny,Wednesday,Weekday,Clear,26.466651,70.75,0.172262,661,3846,4507
174,2011-06-23,Autumn,2011,Juny,Thursday,Weekday,MistCloud,26.231651,70.3333,0.238804,746,4044,4790
175,2011-06-24,Autumn,2011,Juny,Friday,Weekday,Clear,26.035849,57.3333,0.222025,969,4022,4991
176,2011-06-25,Autumn,2011,Juny,Saturday,Weekend,Clear,24.665,48.3333,0.209571,1782,3420,5202
177,2011-06-26,Autumn,2011,Juny,Sunday,Weekend,Clear,23.96,51.3333,0.0945333,1920,3385,5305
178,2011-06-27,Autumn,2011,Juny,Monday,Weekday,MistCloud,24.0775,65.8333,0.107588,854,3854,4708
179,2011-06-28,Autumn,2011,Juny,Tuesday,Weekday,Clear,26.975849000000004,63.416700000000006,0.144283,732,3916,4648
180,2011-06-29,Autumn,2011,Juny,Wednesday,Weekday,Clear,26.231651,49.7917,0.261821,848,4377,5225
181,2011-06-30,Autumn,2011,Juny,Thursday,Weekday,Clear,24.743349000000002,43.416700000000006,0.185312,1027,4488,5515
182,2011-07-01,Autumn,2011,July,Friday,Weekday,Clear,25.957500000000003,39.625,0.102608,1246,4116,5362
183,2011-07-02,Autumn,2011,July,Saturday,Weekend,Clear,26.701651,44.4583,0.115062,2204,2915,5119
184,2011-07-03,Autumn,2011,July,Sunday,Weekend,MistCloud,25.683349,68.25,0.228858,2282,2367,4649
